Id, Observation time, Normalized Effective Diffusion Coefficient
0, 0.02, 0.967198
1, 2.77793, 0.747265
2, 5.53586, 0.713702
3, 8.29379, 0.70091
4, 11.0517, 0.694405
5, 13.8097, 0.690489
6, 16.5676, 0.687876
7, 19.3255, 0.686008
8, 22.0834, 0.684606
9, 24.8414, 0.683515
10, 27.5993, 0.682641
11, 30.3572, 0.681925
12, 33.1152, 0.681329
13, 35.8731, 0.680823
14, 38.631, 0.68039
15, 41.389, 0.680014
16, 44.1469, 0.679685
17, 46.9048, 0.679394
18, 49.6628, 0.679135
19, 52.4207, 0.678903
20, 55.1786, 0.678695
21, 57.9366, 0.678506
22, 60.6945, 0.678334
23, 63.4524, 0.678176
24, 66.2103, 0.678032
25, 68.9683, 0.677899
26, 71.7262, 0.677776
27, 74.4841, 0.677662
28, 77.2421, 0.677556
29, 80, 0.677458
